annotation_class,authority_label,bbox_pt_json,evidence_id,extraction_method,page_1based,qa_status,source_pdf_sha256,source_text_sha256,terminal_class,original_source_record_sha256,excluded_text_field_sha256,projection_scope
SOURCE_RAW_TEXT,HG/T 20606：聚四氟乙烯包覆垫片A/B/C型及推荐,"[0.0,0.0,595.44,842.04]",E_P162,ocr_text,162,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,973E738835C2650902BDA4DBAE72784E389F38DA2ED598EB5A70C70DBD88BD23,DIRECT_REUSE_EVIDENCE,09BAD891CB7FC8E00D673BE89DB3E3174490943F7EA9E180C6B68F46E41E9810,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20610表3.0.1：PN系列缠绕垫A/B/C/D型,"[0.0,0.0,595.44,842.04]",E_P178,ocr_text,178,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,AEDD05080EF9D10263072F48CA15DACF739562ED27C34BDE1C1E80C7C03ED66D,DIRECT_REUSE_EVIDENCE,D6DAFBE5A31960A8E11EFB74D69D860DB8F472F4C3016D1652E4FB2844C27A2D,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20611表3.1：PN系列齿形组合垫A/B/C型,"[0.0,0.0,595.44,842.04]",E_P190,ocr_text,190,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,54597D5BB977575F55A12FE5D8DA14E045BB9545F792C72B46FC8287D799FB77,DIRECT_REUSE_EVIDENCE,5F3DC7C622259E9C903CB70B4B29F317FC379CE1A014C866BCAAE06BBD8484DF,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20612：PN系列金属环垫椭圆/八角型,"[0.0,0.0,595.44,842.04]",E_P202,ocr_text,202,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,F65DF65BD49D2B05D61A1813B0C371AD9EAA0F12337DF1C274380DC4A7D8DE15,DIRECT_REUSE_EVIDENCE,D4DB844A6E28F300C013725B9F7AA94B59365C97AEF08EEA7975ADD3C7367FEA,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20614表3.0.1第一页：PN系列法兰选用,"[0.0,0.0,595.44,842.04]",E_P250,ocr_text,250,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,1A679D10DAC52115DDAE51E1E199D9F59DC9D058755EAB946E47AE70048B1091,DIRECT_REUSE_EVIDENCE,70182A5EDCA9040640BBDEA6D11C5D4762577F719764883BD7567CA49BCCAB9F,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20614表3.0.1续页：PN系列法兰选用,"[0.0,0.0,595.44,842.04]",E_P251,ocr_text,251,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,35C7D44A657E37B8A52889305EF9B79EC07C1CEA21C987AA7018D32E6042535E,DIRECT_REUSE_EVIDENCE,5452E05C3E2422A58D0088F2F6399B60CA479C4CE7B1A6F6235AA4E762D84AB4,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20614表3.0.2第一页：PN系列垫片选用,"[0.0,0.0,595.44,842.04]",E_P252,ocr_text,252,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,A7297D05C7DE41C4E00383111D5617ED5F05DF1A931E017F0C8A79068746EAB5,DIRECT_REUSE_EVIDENCE,055C51A7EA7EEE6F7C97C0B88F0B6D7E13ADBF41521249E24459E95378B23313,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20614表3.0.2续页与紧固件总则,"[0.0,0.0,595.44,842.04]",E_P253,ocr_text,253,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,1411BBA154242D5B1315C7E3D022A9630C3C6816604A7459133CFAD85EF275A0,DIRECT_REUSE_EVIDENCE,28E119738E40D5201C74EB2D1F9362834907191A0D545247ECDDFECF4266722D,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20614表3.0.3-1和表3.0.3-2第一页：PN紧固件,"[0.0,0.0,595.44,842.04]",E_P254,ocr_text,254,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,5AB8D53119A7EF602269548EFE9121D5CEFF089D1774F5A54453D3BB4037AE74,DIRECT_REUSE_EVIDENCE,7FBEE867B4C616F9A64D1CB3574CB238F1883B4DEB9F3AFA694FBDC5C936784D,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20614表3.0.3-2续页与法兰接头,"[0.0,0.0,595.44,842.04]",E_P255,ocr_text,255,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,3F417B7FDFBDAEEF68419801DA82DE6BCAC0C9EC9222DD46DD06B99B089637E6,DIRECT_REUSE_EVIDENCE,97284ED2119BF5EC22B9EBD52E149C033C01B0C78947777CF44C09B21EC39AAE,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20614附录A表A.0.3：垫片类型选择补充,"[0.0,0.0,595.44,842.04]",E_P256,ocr_text,256,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,289BDD78E4AD7F93D2E4864132DEF3A093675185354DBBAA1F88C8CB8CDA80B2,DIRECT_REUSE_EVIDENCE,EB0AFCE7F24439E0E2EA0E02999D1E39CC53490536E88B2592F2B83837537013,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20614附录A：p-T边界与包覆垫A/B/C说明,"[0.0,0.0,595.44,842.04]",E_P257,ocr_text,257,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,B5B6FD5E3C2496E9EA9DC4B7C9834D8338D884844C115F922450E7284E8F2244,DIRECT_REUSE_EVIDENCE,39D0FA4E92D60B5D2A935591F0DFA66DB18F4E93FB156680A453EE3F2F604D6E,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20615第3章：Class系列法兰类型,"[0.0,0.0,595.44,842.04]",E_P270,ocr_text,270,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,DD4C349B230F22F5B1FFC6AD569F238579D76419CADBFF534A45CB6BA4509A62,DIRECT_REUSE_EVIDENCE,F15F8FFA3FAC9F58C28A06D03C0FCC21F86F3EB7B26A8D4430CD8DCEE31D05FB,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20615第3.2节：Class系列密封面型式,"[0.0,0.0,595.44,842.04]",E_P273,ocr_text,273,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,033D3C114A1864A936D79080E1F94E9021CB0D3B9B5D5BEC035EBC3494DE2C2F,DIRECT_REUSE_EVIDENCE,74B7093C16A4AF0102562418C00A3E81CA283A34A5FD5A74E0666F2E369F76C8,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20623附录A：Class系列孔板法兰KWT-T/KWN-S型式,"[0.0,0.0,595.44,842.04]",E_P334,ocr_text,334,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,7F573F4F2406123908085A4D82B0E0A0F700A530236F064848445FF2A82DDE89,DIRECT_REUSE_EVIDENCE,85935D1CCB0FC79B10577517F040E0C66DA7120E9DCCE9B77A67B6BA9B2A9047,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20623附录A：孔板法兰范围与RF密封面,"[0.0,0.0,595.44,842.04]",E_P335,ocr_text,335,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,2B107C6D55EE326F5496DC7BB0B076A9A9842EB62E3F2043716E4DD21BF54C9E,DIRECT_REUSE_EVIDENCE,8920C4FCC1237C8738EA5B59548222588F1C245C47067D3521CB96AA642659A2,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20623大直径法兰类型和范围,"[0.0,0.0,595.44,842.04]",E_P341,ocr_text,341,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,9DD09FA1C63A33BF44D53C8AE870AE09E6188D2C0F8C82D6B0B9DAA90E848743,DIRECT_REUSE_EVIDENCE,2D2A13E2EC30B8C4752CCDF7F5DAECB69108B248815346047D591F15CA3628B5,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20623大直径WN/BL法兰适用范围,"[0.0,0.0,595.44,842.04]",E_P360,ocr_text,360,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,8F6235FADEAB8E94C7CFF9FFB10FACE5A89CA2C521A49C4A31993C37086575D3,DIRECT_REUSE_EVIDENCE,399FF63C714E4022F7195C06631CAD59C722228BEC7980E1D7642AD7FC3F2A3E,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20623大直径法兰密封面范围,"[0.0,0.0,595.44,842.04]",E_P361,ocr_text,361,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,C50B983725C9AB4C59CEC0C2AD9754DE0201C002F78057BFB96B9C218708789E,DIRECT_REUSE_EVIDENCE,86420C1BB20726646013130F0D7C2FD5CC9B2DD7D3FA8171C04F38936CEAD9C7,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20631表3.0.1：Class系列缠绕垫A/B/C/D型,"[0.0,0.0,595.44,842.04]",E_P416,ocr_text,416,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,68C2C71A88271F6123561B1A3BC697680122B68DF79692CA24319549AC47B9A9,DIRECT_REUSE_EVIDENCE,0F53DB4F5CABDC6ED29B2891561D98EDCCB13BCEB00B6121B28B6274112B5127,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20631：温度材料与高等级内环要求,"[0.0,0.0,595.44,842.04]",E_P417,ocr_text,417,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,A849C491999F63ECB143E04FF1CF75090C4220950358D7A8D05FBC64A293B1CB,DIRECT_REUSE_EVIDENCE,0C2EDCE8EA12DB0B3D0041C68296DA550363933B77B18B8D150928987883D2C7,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20632表3.1：Class系列齿形组合垫A/B/C型,"[0.0,0.0,595.44,842.04]",E_P432,ocr_text,432,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,22CBAC94E2F736957DBB2CDA39D1C58CBD38B262D26C07F278F1544025900341,DIRECT_REUSE_EVIDENCE,2AE53A41A6409FEFFB66638680477C5115ECED030C3D82C2434CB74544CD7A40,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20632：温度、材料和对中环要求,"[0.0,0.0,595.44,842.04]",E_P433,ocr_text,433,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,45A0CF474FE59D323CD434D9BB9790C670F1947675F2FB0F8A534A68B11D6D63,DIRECT_REUSE_EVIDENCE,58E816385298E5F54357B1DAB364168D1EEFC252C07FC952E06C5325BCE02F28,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20633：Class系列金属环垫椭圆/八角型,"[0.0,0.0,595.44,842.04]",E_P446,ocr_text,446,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,196E75C387DDB6899FBB094135CF20B55034332B88CC16EDBB49E3B4D6B124B6,DIRECT_REUSE_EVIDENCE,1EFC8E2046C6A088D9FA2DD18CE2B03E5A5B3060BFB74752019823BD1A25B5CE,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20633表3.3.1：环垫材料与温度,"[0.0,0.0,595.44,842.04]",E_P447,ocr_text,447,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,C7E9C27E2A0CBDE4FBEE6F313647B08E5C707FBD7BB516BF4CA68917E9042C35,DIRECT_REUSE_EVIDENCE,E885ED63E85A3ABABD1C67346AF44AEBE5FDF3E10FB7102435482ED1C5D8A669,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20635表3.1.1：Class系列法兰选用,"[0.0,0.0,595.44,842.04]",E_P490,ocr_text,490,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,C1CD05BBB6CC82121050BCB2625778B163FA04403D5F14DFB6436501531455EC,DIRECT_REUSE_EVIDENCE,7A644CE517B42C61B989833AE78F8E9DA47937A4DA607DB78BE6E9015A91455B,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20635第3.2节：垫片硬限制与适用条件,"[0.0,0.0,595.44,842.04]",E_P491,ocr_text,491,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,37A739C04A868300E88D4028D2A9C4830B744AE649F9528540C87A1B9B98C795,DIRECT_REUSE_EVIDENCE,8A13DAF834B93320936C197990F1EC1E32749CD4244B03AE27633C2E04F9896F,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20635表3.2.11：Class系列垫片选用,"[0.0,0.0,595.44,842.04]",E_P492,ocr_text,492,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,CC3005CB8C49FA1EC92A1FD98D1C619EDE262E3E068F76C73682BEDAC501D5E4,DIRECT_REUSE_EVIDENCE,2A77B06386B07522952BAF45D260A91BA3101AFFF0C19A77581EE531FE33C73B,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20635表3.3.1：Class系列紧固件型式,"[0.0,0.0,595.44,842.04]",E_P493,ocr_text,493,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,4A5C864D1903181858FE439F213745136209016B1912D061ECE2ECA73446F2C8,DIRECT_REUSE_EVIDENCE,9C5A2C1C9C895F82B66E79217E2C46B4731FD11D334FFA078DB7C8175CB3FBFD,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20635表3.3.10：Class系列紧固件材料选择,"[0.0,0.0,595.44,842.04]",E_P494,ocr_text,494,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,21C9A942C1789DCFB760A22C413F5678387018266DF15290D51EEC3470E60FA5,DIRECT_REUSE_EVIDENCE,701B53C292962E64049C08951DA7FFF75ED187EE0C6596EB9158A3BB6B48B317,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20635附录A表A.0.3：垫片类型选择补充,"[0.0,0.0,595.44,842.04]",E_P495,ocr_text,495,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,5E499E50A599831CE48C07D4CFA47F89840263430A7D6C37AD6B822B4555305E,DIRECT_REUSE_EVIDENCE,C7D1569395F4C2987216F221A72F5A7B8B500C79865BC7085BAD90D623843298,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,HG/T 20635附录A：p-T边界与包覆垫A/B/C说明,"[0.0,0.0,595.44,842.04]",E_P496,ocr_text,496,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,A05D47C5204E19ABBAD550C4DA00CE9CF042DBD4F387C519B060E06CA7EC6858,DIRECT_REUSE_EVIDENCE,BB55C7CABE5F9130CB0E709C425EF4A39E2D2FC48958C83B79BDAD045AF4241B,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,2012年5月勘误：PN系列包覆垫代码与PN40紧固件修正,"[0.0,0.0,595.2,841.68]",E_P531,native_text,531,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,CBA87154F357417791B439F4BD6221FA74E4551F8DD208A916D5C8B769B2ABAC,DIRECT_REUSE_EVIDENCE,B7CBA2D88A535E499D32524E1E7720C06E90C7C8390D45B402CAFA49246C5DBF,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
SOURCE_RAW_TEXT,2012年5月勘误：LWN/NPT/A-B-C/Class300修正,"[0.0,0.0,595.2,841.68]",E_P532,native_text,532,PASS_PAGE_VISUAL_REVIEW,7513C49ABF181FF538E4D3A29050DEDD4DDDBEF9DE11B25840EEF21731D64201,5FEAF82FC19523CB1D09EE2B8A17C0240BC7B1D800EB839678FE417FDA5B5056,DIRECT_REUSE_EVIDENCE,4C3EFCE7834214C2E8B9EF48750DE2D75394382B536CF1AFBCF909FF041BABFD,{},SOURCE_LOCATOR_HASH_ONLY_NOT_ORIGINAL_PARAGRAPH
