annotation_class,candidate_ids,object_family,predicate_json,reason,rule_id,score,source_refs
ENGINEERING_NORMALIZATION,G_SPIRAL_D|G_KAMMPROFILE_B|G_KAMMPROFILE_C,gasket_type,"{""any"":[{""field"":""toxicity"",""op"":""in"",""value"":[""high"",""extreme""]},{""field"":""flammability"",""op"":""in"",""value"":[""highly_flammable""]},{""field"":""leak_tightness"",""op"":""in"",""value"":[""high"",""zero_emission""]},{""field"":""severe_cyclic"",""op"":""eq"",""value"":true}]}",高危、高密封或循环工况优先带定位/约束的半金属垫,SC_G_HIGH_HAZARD_SPIRAL,65,E_P491|E_P492
DETERMINISTIC_DERIVATION,G_MICA_COMPOSITE,gasket_type,"{""field"":""temperature_c"",""op"":""gt"",""value"":650}",650~900℃范围优先云母复合垫；仍须核对压力和材料,SC_G_HIGH_TEMP_MICA,80,E_P252|E_P492
SOURCE_NORMALIZATION,G_PTFE_ENVELOPE_B,gasket_type,"{""field"":""dn_mm"",""op"":""lte"",""value"":500}",A/B均适用时标准说明推荐B型,SC_G_ENVELOPE_B_RECOMMENDED,30,E_P015|E_P162
SOURCE_NORMALIZATION,G_PTFE_ENVELOPE_C,gasket_type,"{""field"":""dn_mm"",""op"":""gte"",""value"":350}",DN≥350可采用C型,SC_G_ENVELOPE_C_LARGE,35,E_P015|E_P162
SOURCE_NORMALIZATION,G_PTFE_ENVELOPE_B,gasket_type,"{""field"":""flush_bore_required"",""op"":""eq"",""value"":true}",机加工B型可加厚内径并利于与法兰内径齐平,SC_G_FLUSH_BORE_B,45,E_P015|E_P162
ENGINEERING_NORMALIZATION,G_SPIRAL_D,gasket_type,"{""field"":""current_facing"",""op"":""in"",""value"":[""RF"",""FF""]}",RF/FF时D型缠绕垫兼具内环和对中环,SC_G_RF_SPIRAL_D,35,E_P178|E_P416
SOURCE_NORMALIZATION,G_SPIRAL_B,gasket_type,"{""field"":""current_facing"",""op"":""eq"",""value"":""FM/M""}",FM/M配B型带内环缠绕垫,SC_G_FM_SPIRAL_B,45,E_P178|E_P416
SOURCE_NORMALIZATION,G_SPIRAL_A,gasket_type,"{""field"":""current_facing"",""op"":""eq"",""value"":""T/G""}",T/G配A型基本缠绕垫,SC_G_TG_SPIRAL_A,45,E_P178|E_P416
ENGINEERING_NORMALIZATION,G_RING_OCTAGONAL,gasket_type,"{""field"":""ring_joint_required"",""op"":""eq"",""value"":true}",椭圆/八角均为标准型式；无环槽细节时以较高注册优先级唯一收敛，须复核环号,SC_G_RJ_OCT,8,E_P202|E_P446
ENGINEERING_NORMALIZATION,FST_PN_HEX_I|FST_CL_HEX_I,fastener_type,"{""all"":[{""field"":""severe_cyclic"",""op"":""eq"",""value"":false},{""field"":""thermal_shock"",""op"":""eq"",""value"":false},{""field"":""toxicity"",""op"":""in"",""value"":[""normal"",""moderate""]}]}",有来源事实确认低等级、非严重循环时可用六角头螺栓组件；未知条件不触发,SC_FST_LOW_BENIGN_HEX,60,E_P254|E_P493
ENGINEERING_NORMALIZATION,FST_PN_FULL_II|FST_CL_FULL_HH,fastener_type,"{""any"":[{""field"":""severe_cyclic"",""op"":""eq"",""value"":true},{""field"":""thermal_shock"",""op"":""eq"",""value"":true},{""field"":""temperature_c"",""op"":""gt"",""value"":200}]}",高温、循环或热冲击优先全螺纹螺柱,SC_FST_SEVERE_FULL,70,E_P254|E_P493|E_P494
