allowed_values,annotation_class,data_type,field_name,field_role,normalization_note,unit
true|false|unknown,ENGINEERING_NORMALIZATION,boolean,utility_service,DERIVED_OUTPUT_ONLY,公用工程工况,
true|false|unknown,ENGINEERING_NORMALIZATION,boolean,instrument_service,DERIVED_OUTPUT_ONLY,仪表/小口径螺纹连接工况,
true|false|unknown,ENGINEERING_NORMALIZATION,boolean,low_sealing_demand,DERIVED_OUTPUT_ONLY,低密封要求,
none|stainless|nickel|titanium|other|unknown,ENGINEERING_NORMALIZATION,string,lining_material,DERIVED_OUTPUT_ONLY,衬里材质,
steel|stainless|nickel|titanium|cast_iron|other|unknown,ENGINEERING_NORMALIZATION,string,flange_material_group,DERIVED_OUTPUT_ONLY,法兰材料组,
steel|stainless|nickel|titanium|cast_iron|other|unknown,ENGINEERING_NORMALIZATION,string,mating_material_group,DERIVED_OUTPUT_ONLY,对接件材料组,
RF|FF|FM/M|T/G|RJ|unknown,ENGINEERING_NORMALIZATION,string,current_facing,DERIVED_OUTPUT_ONLY,现有/拟定密封面配对,
nonmetal_flat|ptfe_envelope|metal_jacket|spiral_wound|kammprofile|ring_joint|none,ENGINEERING_NORMALIZATION,string,gasket_family_preference,RAW_INPUT,用户偏好；不能越过硬排除,
true|false|unknown,ENGINEERING_NORMALIZATION,boolean,ring_joint_required,DERIVED_OUTPUT_ONLY,金属环垫或环槽连接要求,
true|false|unknown,ENGINEERING_NORMALIZATION,boolean,flush_bore_required,RAW_INPUT,要求垫片/内环内径与法兰内径齐平,
true|false|unknown,ENGINEERING_NORMALIZATION,boolean,core_corrosion_risk,DERIVED_OUTPUT_ONLY,PTFE包覆垫嵌入层被介质腐蚀风险,
true|false|unknown,ENGINEERING_NORMALIZATION,boolean,fire_safe_required,DERIVED_OUTPUT_ONLY,防火要求；本标准类型表不足以给出认证结论,
true|false|unknown,ENGINEERING_NORMALIZATION,boolean,cleanability_required,DERIVED_OUTPUT_ONLY,可清洗/无滞留要求；本标准仅给局部结构提示,
true|false|unknown,ENGINEERING_NORMALIZATION,boolean,jacketed_pipe,DERIVED_OUTPUT_ONLY,夹套管连接,
true|false|unknown,ENGINEERING_NORMALIZATION,boolean,orifice_service,DERIVED_OUTPUT_ONLY,孔板流量测量连接,
NPT|socket_weld|unknown,ENGINEERING_NORMALIZATION,string,pressure_tap_connection,RAW_INPUT,孔板法兰测压孔连接形式,
true|false|unknown,ENGINEERING_NORMALIZATION,boolean,closure_required,DERIVED_OUTPUT_ONLY,盲端封闭,
true|false|unknown,ENGINEERING_NORMALIZATION,boolean,internal_component_connection,DERIVED_OUTPUT_ONLY,阀盖/阀体等内部连接,
registered candidate id,ENGINEERING_NORMALIZATION,string,user_forced_candidate_id,RAW_INPUT,人工覆盖；若触发硬排除，程序拒绝并报警,
