annotation_class,candidate_id,class_max,class_min,current_code,default_priority,dn_max_mm,dn_min_mm,faces_allowed,name_zh,normalized_capability_summary,object_family,pn_max,pn_min,qa_status,source_raw_text,source_refs,subtype_group,system_series,temperature_max_c,temperature_min_c,terminal_selectable
ENGINEERING_NORMALIZATION,FL_PN_KWN_T,,,KWN-T,15,600,25,RF,NPT测压孔带颈对焊孔板法兰,孔板测量专用，测压孔为NPT连接,flange_type,160,10,PASS_REVIEWED_TYPE_CATALOG,,E_P119|E_P120,orifice,PN,,,true
ENGINEERING_NORMALIZATION,FL_PN_KWN_S,,,KWN-S,16,600,25,RF,承插焊测压孔带颈对焊孔板法兰,孔板测量专用，测压孔为承插焊连接,flange_type,160,10,PASS_REVIEWED_TYPE_CATALOG,,E_P119|E_P120,orifice,PN,,,true
ENGINEERING_NORMALIZATION,FL_PN_JPL,,,JPL,15,,,,板式平焊夹套法兰,夹套管专用；PN16 RF,flange_type,,,PASS_REVIEWED_TYPE_CATALOG,,E_P128,jacketed,PN,,,true
ENGINEERING_NORMALIZATION,FL_PN_JSO,,,JSO,17,,,,带颈平焊夹套法兰,夹套管专用；PN16/25，RF/FM-M/T-G,flange_type,,,PASS_REVIEWED_TYPE_CATALOG,,E_P128,jacketed,PN,,,true
ENGINEERING_NORMALIZATION,FL_PN_JWN,,,JWN,20,,,,带颈对焊夹套法兰,夹套管专用；PN16/25，RF/FM-M/T-G,flange_type,,,PASS_REVIEWED_TYPE_CATALOG,,E_P128,jacketed,PN,,,true
ENGINEERING_NORMALIZATION,FL_CL_SO,300,150,SO,55,600,15,RF,带颈平焊法兰,公用工程或非易燃易爆、低密封要求、-45~200℃,flange_type,,,PASS_REVIEWED_TYPE_CATALOG,,E_P270|E_P490,general,CLASS,200,-45,true
ENGINEERING_NORMALIZATION,FL_CL_WN,2500,150,WN,100,1500,15,RF|RJ,带颈对焊法兰,常用且泛用；高温高压RJ连接可用,flange_type,,,PASS_REVIEWED_TYPE_CATALOG,,E_P270|E_P490,general,CLASS,,,true
ENGINEERING_NORMALIZATION,FL_CL_LWN,2500,150,LWN,76,,,,长高颈法兰,设备管口长颈结构；勘误确认LWN代码,flange_type,,,PASS_REVIEWED_TYPE_CATALOG,,E_P270|E_P532,equipment_nozzle,CLASS,,,true
ENGINEERING_NORMALIZATION,FL_CL_IF,2500,150,IF,92,1500,15,RF|RJ,整体法兰,整体结构，刚性高,flange_type,,,PASS_REVIEWED_TYPE_CATALOG,,E_P270|E_P490,general,CLASS,,,true
ENGINEERING_NORMALIZATION,FL_CL_SW,900,150,SW,45,50,15,RF,承插焊法兰,DN15~50、Class150~900、非严重循环,flange_type,,,PASS_REVIEWED_TYPE_CATALOG,,E_P270|E_P490,small_bore,CLASS,,,true
ENGINEERING_NORMALIZATION,FL_CL_TH,150,150,Th,30,150,15,RF,螺纹法兰,Class150小口径公用工程/仪表；高压锥管螺纹为NPT,flange_type,,,PASS_REVIEWED_TYPE_CATALOG,,E_P270|E_P490|E_P532,small_bore,CLASS,,,true
ENGINEERING_NORMALIZATION,FL_CL_LF_SE,300,150,LF/SE,48,600,15,RF,松套法兰/对焊环,不锈钢、镍、钛等衬里管道,flange_type,,,PASS_REVIEWED_TYPE_CATALOG,,E_P270|E_P490,lined_or_lap,CLASS,,,true
ENGINEERING_NORMALIZATION,FL_CL_BL,,,BL,20,,,,法兰盖,盲端封闭；大直径范围与WN并列,flange_type,,,PASS_REVIEWED_TYPE_CATALOG,,E_P270|E_P360,closure,CLASS,,,true
ENGINEERING_NORMALIZATION,FL_CL_KWN_T,2500,150,KWN-T,15,600,25,RF,NPT测压孔带颈对焊孔板法兰,孔板测量专用，NPT测压孔,flange_type,,,PASS_REVIEWED_TYPE_CATALOG,,E_P334|E_P335,orifice,CLASS,,,true
ENGINEERING_NORMALIZATION,FL_CL_KWN_S,2500,150,KWN-S,16,600,25,RF,承插焊测压孔带颈对焊孔板法兰,孔板测量专用，承插焊测压孔,flange_type,,,PASS_REVIEWED_TYPE_CATALOG,,E_P334|E_P335,orifice,CLASS,,,true
ENGINEERING_NORMALIZATION,FACE_RF,,,RF,100,,,,突面,最常用密封面；缺省注册默认,facing,,,PASS_REVIEWED_TYPE_CATALOG,,E_P040|E_P273|E_P490,single_face,BOTH,,,true
ENGINEERING_NORMALIZATION,FACE_FF,,,FF,70,,,,全平面,钢—铸铁连接推荐，配全平面非金属垫,facing,,,PASS_REVIEWED_TYPE_CATALOG,,E_P040|E_P273|E_P491|E_P532,single_face,BOTH,,,true
ENGINEERING_NORMALIZATION,FACE_FM_M_PAIR,,,FM/M,60,,,,凹凸面配对,常用于内部阀盖/阀体等连接，外部管道较少,facing,,,PASS_REVIEWED_TYPE_CATALOG,,E_P040|E_P273|E_P490,paired_face,BOTH,,,true
ENGINEERING_NORMALIZATION,FACE_T_G_PAIR,,,T/G,58,,,,榫槽面配对,约束垫片的配对密封面,facing,,,PASS_REVIEWED_TYPE_CATALOG,,E_P040|E_P273|E_P490,paired_face,BOTH,,,true
ENGINEERING_NORMALIZATION,FACE_RJ,,,RJ,80,,,,环连接面,金属环垫必需的环槽密封面,facing,,,PASS_REVIEWED_TYPE_CATALOG,,E_P040|E_P273|E_P490,single_face,BOTH,,,true
ENGINEERING_NORMALIZATION,FACE_FM_COMPONENT,,,FM,0,,,,凹面,仅作为凹凸配对的一侧,facing_component,,,PASS_REVIEWED_TYPE_CATALOG,,E_P040|E_P273,component_face,BOTH,,,false
ENGINEERING_NORMALIZATION,FACE_M_COMPONENT,,,M,0,,,,凸面,仅作为凹凸配对的一侧,facing_component,,,PASS_REVIEWED_TYPE_CATALOG,,E_P040|E_P273,component_face,BOTH,,,false
ENGINEERING_NORMALIZATION,FACE_T_COMPONENT,,,T,0,,,,榫面,仅作为榫槽配对的一侧,facing_component,,,PASS_REVIEWED_TYPE_CATALOG,,E_P040|E_P273,component_face,BOTH,,,false
ENGINEERING_NORMALIZATION,FACE_G_COMPONENT,,,G,0,,,,槽面,仅作为榫槽配对的一侧,facing_component,,,PASS_REVIEWED_TYPE_CATALOG,,E_P040|E_P273,component_face,BOTH,,,false
ENGINEERING_NORMALIZATION,G_RUBBER_FLAT,150,150,RUBBER,34,2000,10,RF|FM/M|T/G|FF,橡胶平垫片,低压力一般介质；温度依橡胶材料,gasket_type,16,,PASS_REVIEWED_TYPE_CATALOG,,E_P014|E_P252|E_P492,nonmetal_flat,BOTH,200,,true
ENGINEERING_NORMALIZATION,G_ASBESTOS_RUBBER,150,150,ASBESTOS,10,,,RF|FM/M|T/G|FF,石棉橡胶板垫片,受法规和健康约束；不得用于高度/极度危害介质或高真空,gasket_type,25,,PASS_REVIEWED_TYPE_CATALOG,,E_P014|E_P252|E_P491|E_P492,nonmetal_flat,BOTH,300,,true
ENGINEERING_NORMALIZATION,G_NON_ASBESTOS_FIBER,300,150,NAF,58,,,RF|FM/M|T/G|FF,非石棉纤维橡胶板垫片,一般低中压工况；高度/极度危害介质或高真空排除,gasket_type,40,,PASS_REVIEWED_TYPE_CATALOG,,E_P014|E_P252|E_P491|E_P492,nonmetal_flat,BOTH,290,,true
ENGINEERING_NORMALIZATION,G_PTFE_FLAT,150,150,PTFE,42,,,RF|FM/M|T/G|FF,聚四氟乙烯平垫片,耐腐蚀但有冷流倾向，宜FF或受限温度,gasket_type,16,,PASS_REVIEWED_TYPE_CATALOG,,E_P014|E_P252|E_P491|E_P492,nonmetal_flat,BOTH,100,,true
ENGINEERING_NORMALIZATION,G_MODIFIED_PTFE,300,150,EPTFE/MPTFE,72,,,RF|FM/M|T/G|FF,膨胀或填充改性聚四氟乙烯垫片,耐腐蚀、较宽泛的非金属垫选择,gasket_type,40,,PASS_REVIEWED_TYPE_CATALOG,,E_P014|E_P252|E_P492,nonmetal_flat,BOTH,200,,true
ENGINEERING_NORMALIZATION,G_FLEX_GRAPHITE_REINFORCED,600,150,RFG,76,,,RF|FM/M|T/G,增强柔性石墨垫片,耐高温；氧化性介质上限450℃；不锈钢/镍法兰需氯离子控制,gasket_type,63,10,PASS_REVIEWED_TYPE_CATALOG,,E_P014|E_P252|E_P491|E_P492,nonmetal_flat,BOTH,650,,true
ENGINEERING_NORMALIZATION,G_MICA_COMPOSITE,600,150,MICA,60,,,RF|FM/M|T/G,高温云母复合垫片,高温非金属候选，最高温度900℃范围,gasket_type,63,10,PASS_REVIEWED_TYPE_CATALOG,,E_P014|E_P252|E_P492,nonmetal_flat,BOTH,900,,true
ENGINEERING_NORMALIZATION,G_PTFE_ENVELOPE_A,300,150,A,50,500,10,RF,剖切型聚四氟乙烯包覆垫片,DN≤500；真空或嵌入层易腐蚀时排除,gasket_type,40,6,PASS_REVIEWED_TYPE_CATALOG,,E_P015|E_P162|E_P257|E_P491|E_P496|E_P531|E_P532,ptfe_envelope,BOTH,150,,true
ENGINEERING_NORMALIZATION,G_PTFE_ENVELOPE_B,300,150,B,64,500,10,RF,机加工型聚四氟乙烯包覆垫片,DN≤500，标准说明推荐；可加厚内径、利于齐平,gasket_type,40,6,PASS_REVIEWED_TYPE_CATALOG,,E_P015|E_P162|E_P257|E_P491|E_P496|E_P531|E_P532,ptfe_envelope,BOTH,150,,true
ENGINEERING_NORMALIZATION,G_PTFE_ENVELOPE_C,300,150,C,44,600,350,RF,折包型聚四氟乙烯包覆垫片,DN≥350；尺寸弹性大但存在搭接且密封性低于A/B,gasket_type,40,6,PASS_REVIEWED_TYPE_CATALOG,,E_P015|E_P162|E_P257|E_P491|E_P496|E_P531|E_P532,ptfe_envelope,BOTH,150,,true
ENGINEERING_NORMALIZATION,G_METAL_JACKET_I,900,300,I,48,600,10,RF,I型金属包覆垫片,半金属垫；温度由包覆层和填充层较低值控制,gasket_type,100,25,PASS_REVIEWED_TYPE_CATALOG,,E_P014|E_P252|E_P492,metal_jacket,BOTH,,,true
ENGINEERING_NORMALIZATION,G_METAL_JACKET_II,900,300,II,46,600,10,RF,II型金属包覆垫片,半金属垫；温度由包覆层和填充层较低值控制,gasket_type,100,25,PASS_REVIEWED_TYPE_CATALOG,,E_P014|E_P252|E_P492,metal_jacket,BOTH,,,true
ENGINEERING_NORMALIZATION,G_SPIRAL_A,2500,150,A,62,1500,10,T/G,基本型缠绕垫,用于T/G；不带内环/对中环,gasket_type,160,16,PASS_REVIEWED_TYPE_CATALOG,,E_P178|E_P416,spiral_wound,BOTH,,,true
ENGINEERING_NORMALIZATION,G_SPIRAL_B,2500,150,B,72,1500,10,FM/M,带内环型缠绕垫,用于FM/M；高等级或PTFE填充需内环,gasket_type,160,16,PASS_REVIEWED_TYPE_CATALOG,,E_P178|E_P416|E_P417,spiral_wound,BOTH,,,true
ENGINEERING_NORMALIZATION,G_SPIRAL_C,2500,150,C,82,1500,10,RF|FF,带对中环型缠绕垫,用于RF/FF；便于对中但无内环,gasket_type,160,16,PASS_REVIEWED_TYPE_CATALOG,,E_P178|E_P416,spiral_wound,BOTH,,,true
ENGINEERING_NORMALIZATION,G_SPIRAL_D,2500,150,D,100,1500,10,RF|FF,带内环和对中环型缠绕垫,RF/FF泛用半金属垫；无充分条件时注册默认,gasket_type,160,16,PASS_REVIEWED_TYPE_CATALOG,,E_P178|E_P416|E_P417|E_P491,spiral_wound,BOTH,,,true
ENGINEERING_NORMALIZATION,G_KAMMPROFILE_A,2500,150,A,68,1500,10,T/G|FM/M,基本型齿形组合垫,用于T/G或FM/M,gasket_type,160,16,PASS_REVIEWED_TYPE_CATALOG,,E_P190|E_P432,kammprofile,BOTH,,,true
ENGINEERING_NORMALIZATION,G_KAMMPROFILE_B,2500,150,B,82,1500,10,RF|FF,带整体对中环型齿形组合垫,RF/FF；整体对中环与齿形金属环同材,gasket_type,160,16,PASS_REVIEWED_TYPE_CATALOG,,E_P190|E_P432|E_P433,kammprofile,BOTH,,,true
ENGINEERING_NORMALIZATION,G_KAMMPROFILE_C,2500,150,C,80,1500,10,RF|FF,带活动对中环型齿形组合垫,RF/FF；活动对中环可采用经表面处理的碳钢,gasket_type,160,16,PASS_REVIEWED_TYPE_CATALOG,,E_P190|E_P432|E_P433,kammprofile,BOTH,,,true
ENGINEERING_NORMALIZATION,G_RING_OVAL,2500,150,OVAL,78,900,15,RJ,椭圆型金属环垫,仅RJ；垫片硬度应低于法兰环槽面,gasket_type,160,63,PASS_REVIEWED_TYPE_CATALOG,,E_P202|E_P446|E_P447,ring_joint,BOTH,700,,true
ENGINEERING_NORMALIZATION,G_RING_OCTAGONAL,2500,150,OCTAGONAL,84,900,15,RJ,八角型金属环垫,仅RJ；垫片硬度应低于法兰环槽面,gasket_type,160,63,PASS_REVIEWED_TYPE_CATALOG,,E_P202|E_P446|E_P447,ring_joint,BOTH,700,,true
ENGINEERING_NORMALIZATION,FST_PN_HEX_I,,,HEX+NUT-I,50,,,,六角头螺栓+I型六角螺母,低等级、非严重循环的一般连接；勘误后上限PN40,fastener_type,40,,PASS_REVIEWED_TYPE_CATALOG,,E_P018|E_P254|E_P531,bolt_assembly,PN,,,true
ENGINEERING_NORMALIZATION,FST_PN_DOUBLE_I,,,DOUBLE-STUD+NUT-I,72,,,,双头螺柱+I型六角螺母,需螺柱连接但不要求全螺纹的中间选项,fastener_type,,,PASS_REVIEWED_TYPE_CATALOG,,E_P018|E_P254|E_P255,stud_assembly,PN,,,true
ENGINEERING_NORMALIZATION,FST_PN_FULL_II,,,FULL-STUD+NUT-II,100,,,,全螺纹螺柱+II型六角螺母,高温、高压、循环及缺省泛用选择,fastener_type,,,PASS_REVIEWED_TYPE_CATALOG,,E_P018|E_P254|E_P255|E_P531,stud_assembly,PN,,,true
ENGINEERING_NORMALIZATION,FST_CL_HEX_I,150,150,HEX+NUT-I,48,,,,六角头螺栓+I型六角螺母,Class150一般连接,fastener_type,,,PASS_REVIEWED_TYPE_CATALOG,,E_P018|E_P493,bolt_assembly,CLASS,,,true
ENGINEERING_NORMALIZATION,FST_CL_FULL_HH,2500,150,FULL-STUD+HEAVY-HEX,100,,,,全螺纹螺柱+重型六角螺母,Class150~2500泛用、高载荷连接,fastener_type,,,PASS_REVIEWED_TYPE_CATALOG,,E_P018|E_P493|E_P494,stud_assembly,CLASS,,,true
